06-20 12:11:13.372   525  1913 I ActivityTaskManager: START u0 {act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10200000 cmp=com.DefaultCompany.MopubTest/com.unity3d.player.UnityPlayerActivity bnds=[439,958][640,1270]} from uid 10137
06-20 12:11:13.503   525   554 I ActivityManager: Start proc 3884:com.DefaultCompany.MopubTest/u0a154 for pre-top-activity {com.DefaultCompany.MopubTest/com.unity3d.player.UnityPlayerActivity}
06-20 12:11:15.036  3884  3884 D Unity   : CommandLine:  
06-20 12:11:15.068  3884  3884 D Unity   : onActivityResumed: com.unity3d.player.UnityPlayerActivity@adb7ff3
06-20 12:11:15.068  3884  3884 I Unity   : onResume
06-20 12:11:15.106  3884  3997 D Unity   : SetWindow 0 0xe6d49738
06-20 12:11:15.107  3884  3997 D Unity   : SetWindow 0 0xe6d49738
06-20 12:11:15.309   525   552 D ArtManagerInternalImpl: /data/misc/iorapd/com.DefaultCompany.MopubTest/1/com.unity3d.player.UnityPlayerActivity/compiled_traces/compiled_trace.pb doesn't exist
06-20 12:11:15.322  3884  3884 I Unity   : windowFocusChanged: true
06-20 12:11:15.332   525   552 I ActivityTaskManager: Displayed com.DefaultCompany.MopubTest/com.unity3d.player.UnityPlayerActivity: +1s933ms
06-20 12:11:15.471  3884  3997 I Unity   : MemoryManager: Using 'Dynamic Heap' Allocator.
06-20 12:11:15.696  3884  3997 D Unity   : Enabling Unity systrace
06-20 12:11:15.929  3884  3997 D Unity   : [VFS] Mount /data/app/~~CLunVI_I7_Zxtk00t5H9Vg==/com.DefaultCompany.MopubTest-4AXpAkOe338AND09r-xhJA==/base.apk
06-20 12:11:16.226  3884  3997 D Unity   : Loading player data from /data/app/~~CLunVI_I7_Zxtk00t5H9Vg==/com.DefaultCompany.MopubTest-4AXpAkOe338AND09r-xhJA==/base.apk/assets/bin/Data/data.unity3d
06-20 12:11:16.314  3884  3997 I Unity   : SystemInfo CPU = ARMv7 VFPv3 NEON VMH, Cores = 0, Memory = 1980mb
06-20 12:11:16.325  3884  3997 I Unity   : SystemInfo ARM big.LITTLE configuration: 0 big (mask: 0x0), 0 little (mask: 0x0)
06-20 12:11:16.327  3884  3997 I Unity   : ApplicationInfo com.DefaultCompany.MopubTest version 0.1 build e08239e3-5872-4a96-9c18-77f0101490fe
06-20 12:11:16.343  3884  3997 I Unity   : Built from '2019.4/staging' branch, Version '2019.4.28f1 (1381962e9d08)', Build type 'Development', Scripting Backend 'mono', CPU 'armeabi-v7a', Stripping 'Disabled'
06-20 12:11:16.495  3884  3997 D Unity   : Mono path[0] = '/data/app/~~CLunVI_I7_Zxtk00t5H9Vg==/com.DefaultCompany.MopubTest-4AXpAkOe338AND09r-xhJA==/base.apk/assets/bin/Data/Managed'
06-20 12:11:16.495  3884  3997 D Unity   : Mono config path = 'assets/bin/Data/Managed/etc'
06-20 12:11:16.543  3884  3997 D Unity   : PlayerConnection initialized from /data/app/~~CLunVI_I7_Zxtk00t5H9Vg==/com.DefaultCompany.MopubTest-4AXpAkOe338AND09r-xhJA==/base.apk/assets/bin/Data (debug = 0)
06-20 12:11:16.584  3884  3997 D Unity   : PlayerConnection initialized network socket : 0.0.0.0 55057
06-20 12:11:16.586  3884  3997 D Unity   : PlayerConnection initialized unix socket : Unity-com.DefaultCompany.MopubTest
06-20 12:11:16.594  3884  3997 D Unity   : Multi-casting "[IP] 10.0.2.16 [Port] 55057 [Flags] 19 [Guid] 267689868 [EditorId] 1814036165 [Version] 1048832 [Id] AndroidPlayer(Google_sdk_gphone_x86_arm@10.0.2.16) [Debug] 1 [PackageName] AndroidPlayer [ProjectName] MopubTest" to [225.0.0.222:54997]...
06-20 12:11:16.594  3884  3997 D Unity   : Waiting for connection from host on [0.0.0.0:55057]...
